Age,Profession,Marrital Status,No of Dependents,Credit,Wife Working,Salary,Wife Salary,Total Salary,Make,Price,Time
29,Salaried,Married,5,1,1,900000,800000,1700000,Verna,1100000,4
27,Salaried,Single,5,1,1,800000,0,800000,Bale0,700000,3
30,Salaried,Married,5,1,1,800000,500000,1300000,Bale0,700000,5
27,Salaried,Single,5,0,0,1100000,0,1100000,Bale0,700000,9
28,Salaried,Single,5,1,0,900000,0,900000,Bale0,700000,9
29,Business,Single,5,1,0,1100000,0,1100000,Bale0,700000,10
27,Salaried,Single,5,0,0,900000,0,900000,Bale0,700000,5
27,Salaried,Single,5,1,0,800000,0,800000,i20,800000,8
26,Salaried,Single,5,1,0,800000,0,800000,i20,800000,5
31,Salaried,Married,5,1,1,1400000,800000,2200000,Ciaz,1100000,5
32,Business,Married,4,1,0,1400000,0,1400000,Ciaz,1100000,8
27,Business,Single,4,0,0,1200000,0,1200000,Ciaz,1100000,1
29,Business,Married,4,1,1,900000,700000,1600000,City,1200000,8
28,Salaried,Single,4,0,0,1400000,0,1400000,City,1200000,1
36,Business,Married,4,0,1,1300000,700000,2000000,City,1200000,6
30,Salaried,Married,4,1,1,1300000,800000,2100000,Creata,1500000,9
30,Salaried,Single,4,0,0,1500000,0,1500000,Creata,1500000,9
31,Business,Single,4,0,0,2000000,0,2000000,SUV,1500000,4
30,Business,Single,4,1,0,1400000,0,1400000,SUV,1600000,5
37,Salaried,Married,2,0,0,1300000,0,1300000,Bale0,700000,4
30,Business,Single,2,1,0,1400000,0,1400000,i20,800000,10
34,Salaried,Married,2,1,0,1600000,0,1600000,i20,800000,6
36,Salaried,Married,2,0,1,1100000,500000,1600000,i20,800000,3
36,Business,Married,2,1,0,1900000,0,1900000,i20,800000,2
35,Salaried,Married,2,0,0,1400000,0,1400000,i20,800000,7
35,Salaried,Married,2,1,1,1400000,600000,2000000,Ciaz,1000000,8
31,Salaried,Married,2,0,1,1400000,700000,2100000,Ciaz,1100000,3
51,Business,Married,2,1,0,2200000,0,2200000,Ciaz,1100000,2
51,Salaried,Married,2,1,0,2200000,0,2200000,Ciaz,1100000,8
29,Salaried,Single,2,1,0,900000,0,900000,City,1200000,3
39,Salaried,Married,2,0,0,1900000,0,1900000,City,1200000,1
33,Salaried,Married,2,0,1,1400000,800000,2200000,City,1200000,6
37,Salaried,Married,2,0,0,2800000,0,2800000,City,1200000,1
36,Business,Married,2,0,1,1500000,1100000,2600000,Duster,1300000,4
42,Salaried,Married,2,0,0,2900000,0,2900000,Duster,1300000,8
39,Business,Married,2,1,1,2200000,1400000,3600000,Creata,1500000,2
39,Salaried,Married,2,1,1,2700000,1300000,4000000,Creata,1500000,2
37,Business,Married,2,0,1,1400000,1300000,2700000,Duster,1500000,7
36,Salaried,Married,2,0,1,2300000,1300000,3600000,Creata,1500000,10
34,Salaried,Married,2,0,1,2700000,1400000,4100000,Creata,1500000,4
51,Salaried,Married,2,0,1,2700000,1300000,4000000,Creata,1500000,3
31,Salaried,Married,2,1,1,1800000,800000,2600000,SUV,1600000,8
35,Salaried,Married,2,1,1,1800000,1100000,2900000,SUV,1600000,1
36,Salaried,Married,2,1,1,1800000,900000,2700000,SUV,1600000,7
41,Salaried,Married,2,0,1,2900000,1800000,4700000,Luxuray,2000000,1
28,Salaried,Married,3,1,0,900000,0,900000,Bale0,700000,1
31,Business,Married,3,1,1,900000,400000,1300000,Bale0,700000,2
41,Business,Married,3,1,0,1100000,0,1100000,Bale0,700000,4
31,Salaried,Married,3,1,0,1800000,0,1800000,Bale0,700000,2
39,Business,Married,3,0,0,1600000,0,1600000,Bale0,700000,1
42,Business,Married,3,1,0,1800000,0,1800000,Bale0,700000,8
34,Business,Married,3,1,0,1900000,0,1900000,Bale0,700000,2
34,Salaried,Married,3,1,1,1200000,700000,1900000,i20,800000,4
35,Business,Married,3,1,1,1100000,800000,1900000,i20,800000,5
36,Business,Married,3,1,0,1600000,0,1600000,i20,800000,4
31,Business,Married,3,1,1,1100000,600000,1700000,i20,800000,9
46,Salaried,Married,3,1,0,2100000,0,2100000,Bale0,800000,4
42,Salaried,Married,3,1,0,2700000,0,2700000,i20,800000,5
35,Salaried,Married,3,1,1,1400000,600000,2000000,Ciaz,1100000,6
41,Salaried,Married,3,0,0,2600000,0,2600000,Ciaz,1100000,5
43,Salaried,Married,3,1,0,2400000,0,2400000,Ciaz,1100000,3
41,Business,Married,3,0,1,1600000,600000,2200000,City,1200000,2
37,Salaried,Married,3,1,1,1700000,800000,2500000,City,1200000,8
36,Salaried,Married,3,1,1,1700000,900000,2600000,Verna,1200000,7
37,Business,Married,3,0,0,1700000,0,1700000,Verna,1200000,6
41,Salaried,Married,3,1,1,1400000,700000,2100000,Duster,1300000,9
34,Salaried,Married,3,1,1,1400000,900000,2300000,Duster,1300000,5
43,Business,Married,3,0,1,1300000,900000,2200000,Creata,1500000,4
34,Salaried,Married,3,0,1,2200000,1400000,3600000,Creata,1500000,2
36,Salaried,Married,3,1,1,2200000,900000,3100000,Creata,1500000,10
44,Business,Married,3,0,1,2000000,1800000,3800000,Creata,1500000,1
41,Salaried,Married,3,1,0,3100000,0,3100000,Creata,1500000,5
44,Salaried,Married,3,0,0,3100000,0,3100000,Creata,1500000,6
36,Business,Married,3,0,1,1400000,1000000,2400000,SUV,1600000,7
42,Salaried,Married,3,1,1,2400000,1300000,3700000,SUV,1600000,2
45,Salaried,Married,3,0,1,2700000,1800000,4500000,SUV,1600000,10
33,Business,Married,4,1,0,1400000,0,1400000,Bale0,700000,8
35,Salaried,Married,4,1,0,1400000,0,1400000,Bale0,700000,2
35,Business,Married,4,0,1,900000,500000,1400000,Bale0,700000,6
35,Salaried,Married,4,1,0,1300000,0,1300000,Bale0,700000,4
34,Business,Married,4,1,0,2000000,0,2000000,Verna,1100000,8
42,Salaried,Married,4,1,0,2100000,0,2100000,Ciaz,1100000,6
36,Business,Married,4,0,0,200000,0,200000,Ciaz,1100000,4
45,Business,Married,4,1,0,1800000,0,1800000,Duster,1200000,6
31,Salaried,Married,4,1,1,1200000,600000,1800000,City,1200000,9
49,Business,Married,4,0,0,2000000,0,2000000,Duster,1300000,2
41,Salaried,Married,4,1,1,1900000,1100000,3000000,Creata,1500000,2
35,Salaried,Married,4,1,1,1300000,700000,2000000,SUV,1600000,5
32,Salaried,Married,4,1,1,1600000,800000,2400000,SUV,1600000,6
44,Salaried,Married,4,0,0,2700000,0,2700000,SUV,1600000,5
35,Salaried,Married,4,0,1,1400000,1100000,2500000,SUV,1600000,2
49,Salaried,Married,4,1,1,2500000,2000000,4500000,Luxuray,2000000,4
49,Salaried,Married,5,0,1,2500000,1800000,4300000,SUV,1600000,7
37,Salaried,Married,5,0,1,1900000,1300000,3200000,SUV,1600000,3
36,Business,Married,5,0,1,1800000,1100000,2900000,SUV,1600000,7
36,Salaried,Married,5,1,1,3100000,1800000,4900000,SUV,1600000,5
44,Business,Married,6,0,1,3100000,2100000,5200000,SUV,1600000,8
27,Business,Single,6,0,0,2400000,0,2400000,SUV,1600000,10
50,Salaried,Married,6,0,1,3800000,1300000,5100000,SUV,1600000,4
