state,Q1sales2019,Q2sales2019,Q3sales2019,Q4sales2019,2019sales
Maharashtra,90281,92713,88209,83277,354480
Gujarat,74480,74723,66849,68711,284763
Uttar Pradesh,79300,72377,68263,79876,299816
Karnataka,59478,61187,49989,56646,227300
Kerala,65242,70124,58077,59196,252639
Tamil Nadu,58754,60312,46916,53646,219628
NCT of Delhi,53447,48054,41520,50901,193922
Haryana,48831,44428,41659,52753,187671
Rajasthan,43247,41897,42140,44736,172020
Telangana,32382,31991,31460,32076,127909
Madhya Pradesh,35099,32943,31859,36241,136142
Punjab,27906,27014,26032,30268,111220
West Bengal,28502,28408,23993,23916,104819
Andhra Pradesh,26481,33251,23213,25492,108437
Assam,21358,22882,20820,20597,85657
Bihar,18593,16775,14467,17375,67210
Jharkhand,14662,15398,16830,14298,61188
Odisha,14162,15639,15859,14809,60469
Uttarakhand,13887,11646,13216,13370,52119
Jammu & Kashmir,16772,17737,16396,15842,66747
Chhattisgarh,13134,13163,13179,13802,53278
Himachal Pradesh,10164,9775,10223,9318,39480
Chandigarh,8301,8434,7936,8773,33444
Goa,5311,6041,5664,5189,22205
Meghalaya,237,2590,2948,2455,10364
Puducherry,1916,1932,1470,1697,7015
Nagaland,1527,1641,1795,1511,6474
Tripura,1474,1416,1379,1289,5558
Arunanchal Pradesh,1162,1073,1194,1192,4621
Manipur,1446,1344,1574,1418,5782
Sikkim,891,998,870,982,3741
Andaman & Nicobar Island,538,508,602,472,2120
Mizoram,811,910,1137,1135,3993
